num_season,tribe,iter_num,num_contestants,merge,african_american,asian_american,latin_american,poc,jewish,muslim,lgbt,male,female,non_binary,color
33,Takali,1,11,0,1,2,0,3,1,0,1,5,6,0,Purple
33,Vanua,1,9,0,1,1,2,4,2,0,1,5,4,0,Orange
33,Vanua,2,5,0,1,0,0,1,1,0,1,3,2,0,Orange
33,Takali,2,6,0,0,0,1,1,2,0,0,3,3,0,Purple
33,Ikabula,2,5,0,1,0,1,2,0,0,1,3,2,0,Green
33,Vinaka,0,13,1,0,0,1,1,3,0,2,9,4,0,Black
34,Mana,1,10,0,1,0,1,2,0,0,1,5,5,0,Orange
34,Nuku,1,10,0,1,1,1,3,1,0,3,5,5,0,Blue/Teal
34,Mana,2,6,0,0,1,0,1,0,0,1,3,3,0,Orange
34,Nuku,2,6,0,1,0,1,2,0,0,1,3,3,0,Blue/Teal
34,Tavua,2,6,0,1,0,1,2,1,0,2,3,3,0,Green
34,Nuku,3,8,0,0,1,2,3,1,0,4,4,4,0,Blue/Teal
34,Mana,3,7,0,2,0,0,2,0,0,0,2,5,0,Orange
34,Maku Maku,0,13,1,2,1,1,4,1,0,3,5,8,0,Yellow/Gold
35,Levu,1,6,0,1,0,0,1,0,0,0,3,3,0,Blue/Teal
35,Yawa,1,6,0,1,1,1,3,0,0,2,3,3,0,Red
35,Soko,1,6,0,1,0,1,2,1,0,0,3,3,0,Yellow/Gold
35,Levu,2,5,0,2,0,2,4,0,0,0,3,2,0,Blue/Teal
35,Soko,2,5,0,1,0,0,1,0,0,0,2,3,0,Yellow/Gold
35,Yawa,2,5,0,0,0,0,0,1,0,1,3,2,0,Red
35,Solewa,0,12,1,1,0,2,3,1,0,1,7,5,0,Purple
36,Malolo,1,10,0,1,1,1,3,1,0,1,5,5,0,Orange
36,Naviti,1,10,0,2,0,0,2,0,0,0,5,5,0,Purple
36,Naviti,2,9,0,2,1,0,3,0,0,1,5,4,0,Purple
36,Malolo,2,9,0,1,0,0,1,0,0,0,4,5,0,Orange
36,Malolo,3,5,0,1,1,0,2,0,0,0,2,3,0,Orange
36,Naviti,3,5,0,0,0,0,0,0,0,1,3,2,0,Purple
36,Yanuya,3,5,0,2,0,0,2,0,0,0,3,2,0,Green
36,Lavita,0,13,1,3,0,0,3,0,0,1,6,7,0,Black
37,David,1,10,0,2,2,1,5,0,0,1,5,5,0,Blue/Teal
37,Goliath,1,10,0,2,1,1,4,0,1,2,5,5,0,Purple
37,Vuku,2,6,0,2,1,0,3,0,1,0,3,3,0,Blue/Teal
37,Jabeni,2,5,0,1,0,2,3,0,0,2,2,3,0,Purple
37,Tiva,2,5,0,0,1,0,1,0,0,0,3,2,0,Green
37,Kalokalo,0,13,1,2,1,1,4,0,0,1,8,5,0,Blue/Teal
38,Manu,1,9,0,1,0,2,3,0,0,0,5,4,0,Blue/Teal
38,Kama,1,9,0,1,0,1,2,1,0,2,4,5,0,Yellow/Gold
38,Manu,2,5,0,0,0,2,2,0,0,0,2,3,0,Blue/Teal
38,Kama,2,5,0,1,0,0,1,1,0,2,2,3,0,Yellow/Gold
38,Lesu,2,5,0,0,0,0,0,0,0,0,3,2,0,Green
38,Vata,0,14,1,1,0,2,3,1,0,2,8,6,0,Red
39,Lairo,1,10,0,3,3,0,5,1,0,3,5,5,0,Orange
39,Vokai,1,10,0,2,2,1,4,1,0,0,5,5,0,Purple
39,Lairo,2,8,0,1,3,1,4,0,0,0,4,4,0,Orange
39,Vokai,2,8,0,3,0,0,3,1,0,2,4,4,0,Purple
39,Lumuwaku,0,13,1,4,3,1,7,0,0,2,5,8,0,Blue/Teal
40,Dakal,1,10,0,1,1,0,2,0,0,0,5,5,0,Red
40,Sele,1,10,0,1,1,1,3,2,0,0,5,5,0,Blue/Teal
40,Yara,2,5,0,0,0,0,0,1,0,0,3,2,0,Green
40,Dakal,2,5,0,1,0,0,1,0,0,0,2,3,0,Red
40,Sele,2,5,0,1,1,1,3,0,0,0,3,2,0,Blue/Teal
40,Koru,0,13,1,2,1,0,3,1,0,0,7,6,0,Black
41,Yase,1,6,0,2,0,0,2,3,0,1,3,2,1,Yellow/Gold
41,Ua,1,6,0,2,1,1,4,0,0,2,3,3,0,Green
41,Luvu,1,6,0,2,2,0,4,1,1,0,3,3,0,Blue/Teal
41,Viakana,0,12,1,4,2,1,7,4,1,2,5,6,1,Red
42,Taku,1,6,0,2,1,0,3,1,1,1,3,3,0,Orange
42,Ika,1,6,0,2,1,1,4,1,0,1,3,3,0,Blue/Teal
42,Vati,1,6,0,1,2,1,4,0,0,3,3,3,0,Green
42,Kula Kula,0,12,1,4,2,2,8,1,1,4,6,6,0,Purple
43,Baka,1,6,0,2,2,1,5,0,0,0,3,3,0,Yellow/Gold
43,Vesi,1,6,0,2,1,1,4,0,0,0,3,3,0,Red
43,Coco,1,6,0,2,0,3,4,0,0,2,3,3,0,Blue/Teal
43,Gaia,0,12,1,4,2,3,8,0,0,1,8,4,0,Green
